id_add_producao_intelectual,an_base,sg_entidade_ensino,cd_programa_ies,nm_programa_ies,qtd_autores_total,qtd_tp_autor_sem_informacao,qtd_tp_autor_discente,qtd_tp_autor_docente,qtd_tp_autor_egresso,qtd_tp_autor_participante_externo,qtd_tp_autor_participante_x0020_externo,qtd_tp_autor_pos_doc,qtd_tp_autor_x002d
19990781,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,1,1,0,1,0,0,0
19990783,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,4,0,0,1,0,3,0,0,0
19990785,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,2,0,0,1,0,1,0,0,0
19990786,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,1,1,0,1,0,0,0
19990789,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,1,0,0,1,0,0,0,0,0
19990790,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,4,0,1,1,0,2,0,0,0
19990794,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,4,0,0,1,0,3,0,0,0
19990795,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,2,0,0,1,0,1,0,0,0
19990796,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,2,0,0,1,0,1,0,0,0
19990798,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,1,2,0,0,0,0,0
19990799,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,2,0,0,1,0,1,0,0,0
19990800,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,0,1,0,2,0,0,0
19990801,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,1,1,0,1,0,0,0
19990804,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,1,0,0,1,0,0,0,0,0
19990806,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,1,0,0,1,0,0,0,0,0
19990807,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,6,0,3,1,0,2,0,0,0
19990810,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,4,0,1,2,0,1,0,0,0
19990811,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,5,0,0,1,0,4,0,0,0
19990815,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,4,0,1,2,0,1,0,0,0
19990816,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,1,0,0,1,0,0,0,0,0
19990817,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,4,0,1,2,0,1,0,0,0
19990818,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,0,1,0,2,0,0,0
19990825,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,0,1,0,2,0,0,0
19990826,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,1,0,0,1,0,0,0,0,0
19990829,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,0,1,0,2,0,0,0
19990831,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,1,1,0,1,0,0,0
19990832,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,1,1,0,1,0,0,0
19990833,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,2,0,0,2,0,0,0,0,0
19990834,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,5,0,1,2,0,2,0,0,0
19990840,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,4,0,0,1,0,3,0,0,0
19990842,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,0,1,0,2,0,0,0
19990843,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,2,0,0,1,0,1,0,0,0
19990844,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,2,0,0,1,0,1,0,0,0
19990845,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,2,0,0,1,0,1,0,0,0
19990847,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,4,0,2,2,0,0,0,0,0
19990848,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,4,0,2,2,0,0,0,0,0
19990849,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,2,0,0,2,0,0,0,0,0
19990851,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,5,0,1,2,0,2,0,0,0
19990852,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,0,1,0,2,0,0,0
19990853,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,1,0,0,1,0,0,0,0,0
19990854,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,0,1,0,2,0,0,0
19990855,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,1,0,0,1,0,0,0,0,0
19990860,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,1,1,0,1,0,0,0
19990862,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,0,2,0,1,0,0,0
19990864,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,2,0,0,1,0,1,0,0,0
19990869,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,1,1,0,1,0,0,0
19990870,2013,INPE,33010013002P1,COMPUTAÇÃO APLICADA,3,0,0,1,0,2,0,0,0
